compound,smiles,source_row,duplicate_name_count
Isopimpinellin,COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC,144,1
"Butylethylene Ether,Hexanal",CCCCCC=O,551,1
Beta-Eudesmol,C=C1CCC[C@]2([C@H]1C[C@@H](CC2)C(O)(C)C)C,602,1
Α-Pinene,CC1=CC[C@H]2C[C@@H]1C2(C)C,673,1
Oroxylin A,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O,253,1
Eriodictyol,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc(c(c1)O)O,46,1
Puerarin,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)ccc2c1occ(c2=O)c1ccc(cc1)O,321,1
Scutellarein,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,375,1
Acetoside,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O,826,1
Chrysin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,1162,1
Scutellarin,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O)O,376,1
Acacetin,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,818,1
"5,7,2',3'-Tetrahydroxyflavone",C1=CC(=C(C(=C1)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,751,1
Wogonoside,COc1c(O[C@@H]2O[C@H](C(=O)[O-])[C@H]([C@@H]([C@H]2O)O)O)cc(c2c1oc(cc2=O)c1ccccc1)O,707,1
Cynaropicrin,OCC(=C)C(=O)O[C@H]1CC(=C)[C@H]2[C@@H]([C@@H]3[C@@H]1C(=C)C(=O)O3)C(=C)[C@H](C2)O,623,1
