model,analysis,bin_id,x_mean,y_mean,y_sem,count
repeat_median_rank_consensus,herb_herb,9,0.5002101558181076,-0.01802217560749238,0.011958138327302453,4337
repeat_median_rank_consensus,herb_herb,10,0.5319543796583613,-0.007147678688952858,0.011848605232720919,4337
repeat_median_rank_consensus,herb_herb,11,0.5630086868108821,0.006031904820172256,0.011965400197623906,4337
repeat_median_rank_consensus,herb_herb,12,0.5938788124598926,0.010472960229314203,0.012052163848852028,4337
repeat_median_rank_consensus,herb_herb,13,0.6252367551830563,0.00477760961302039,0.012086173261487457,4337
repeat_median_rank_consensus,herb_herb,14,0.6568522186509468,0.015135363006426086,0.012289680225633873,4337
repeat_median_rank_consensus,herb_herb,15,0.6896613893897008,0.024462259128076657,0.01225892234252687,4337
repeat_median_rank_consensus,herb_herb,16,0.7250784966434001,-0.0028780270135844526,0.012550140329081702,4336
repeat_median_rank_consensus,herb_herb,17,0.7637341339527854,0.033301264134883594,0.01246739484877807,4336
repeat_median_rank_consensus,herb_herb,18,0.8113807629040146,0.038005489606353755,0.012452484219940113,4336
repeat_median_rank_consensus,herb_herb,19,0.8857697394745031,0.05536816777549461,0.012917862408651934,4336
repeat_median_rank_consensus,disease_disease,0,0.09730088881143253,-0.563116275924832,0.09524751411572215,302
repeat_median_rank_consensus,disease_disease,1,0.19224904147786687,-0.22633962455219148,0.1024428753107039,151
repeat_median_rank_consensus,disease_disease,2,0.2433552631578947,-0.13985473096452133,0.10900173544439491,150
repeat_median_rank_consensus,disease_disease,3,0.2905701754385965,0.02164081057519109,0.06907344560908761,150
repeat_median_rank_consensus,disease_disease,4,0.3346052631578947,-0.13747863833242177,0.10517310815620194,150
repeat_median_rank_consensus,disease_disease,5,0.37699561403508774,0.05601744095465784,0.05880422646459212,150
repeat_median_rank_consensus,disease_disease,6,0.4178508771929825,-0.11410203504865259,0.07593563065519646,150
repeat_median_rank_consensus,disease_disease,7,0.4571271929824561,0.020624698910061384,0.07230001679168716,150
repeat_median_rank_consensus,disease_disease,8,0.49212719298245605,0.14008925014656456,0.05798258413410296,150
repeat_median_rank_consensus,disease_disease,9,0.5316666666666666,-0.009991807795949003,0.06758557660877561,150
repeat_median_rank_consensus,disease_disease,10,0.5696491228070175,0.1461070542232374,0.04585151560920748,150
repeat_median_rank_consensus,disease_disease,11,0.60390350877193,0.05623899561178755,0.055936845687215034,150
repeat_median_rank_consensus,disease_disease,12,0.6372368421052633,0.1737055205158597,0.04356228234517156,150
repeat_median_rank_consensus,disease_disease,13,0.6739254385964913,0.17576890747091672,0.046486825932153954,150
repeat_median_rank_consensus,disease_disease,14,0.7117982456140353,0.20812714523363904,0.031109962604240964,150
repeat_median_rank_consensus,disease_disease,15,0.7482236842105264,0.12981224321997653,0.04600387290545335,150
repeat_median_rank_consensus,disease_disease,16,0.7904605263157894,0.16921429025082527,0.03813951345556365,150
repeat_median_rank_consensus,disease_disease,17,0.8433333333333333,0.2113063791681577,0.040485466251509554,150
repeat_median_rank_consensus,disease_disease,18,0.9177192982456138,0.25436380010520443,0.03152227750175685,150
repeat_median_rank_consensus,disease_herb,0,0.07611120632594204,-0.09882914963907911,0.0218681776740253,1627
repeat_median_rank_consensus,disease_herb,1,0.14741915275873482,-0.015897344785316674,0.024286413136104253,1627
repeat_median_rank_consensus,disease_herb,2,0.19996321095929273,-0.04629607475108046,0.023276141763806497,1627
repeat_median_rank_consensus,disease_herb,3,0.24643781617890406,-0.017859246769955154,0.024527317051273537,1627
repeat_median_rank_consensus,disease_herb,4,0.29038151269443524,-0.02948489165249512,0.023071654875313236,1627
repeat_median_rank_consensus,disease_herb,5,0.330811781948844,-0.06347719746857361,0.022836840166667746,1627
repeat_median_rank_consensus,disease_herb,6,0.3699927263695714,0.0001838384164197611,0.024984290504080905,1626
repeat_median_rank_consensus,disease_herb,7,0.4082968173431734,-0.04337911592539421,0.02367658819908945,1626
repeat_median_rank_consensus,disease_herb,8,0.4466940462673858,-0.027284199842060645,0.023543290157420873,1626
repeat_median_rank_consensus,disease_herb,9,0.4835751963288864,-0.01790218753118373,0.023561638004986323,1626
repeat_median_rank_consensus,disease_herb,10,0.519662456239947,-0.009841137289563304,0.02380731835986222,1626
repeat_median_rank_consensus,disease_herb,11,0.5561984045321222,0.009269648505139847,0.024843442371278127,1626
repeat_median_rank_consensus,disease_herb,12,0.5929975044942758,0.011576477490694693,0.02506844522424404,1626
repeat_median_rank_consensus,disease_herb,13,0.6319269502791182,0.062205970331533904,0.026917247313773887,1626
repeat_median_rank_consensus,disease_herb,14,0.671063369287539,-0.01869652418964363,0.02353744821005226,1626
repeat_median_rank_consensus,disease_herb,15,0.7128276090453213,0.07228380082924316,0.027315612904187773,1626
repeat_median_rank_consensus,disease_herb,16,0.7573771170404012,0.024229776055957556,0.025598124560074285,1626
repeat_median_rank_consensus,disease_herb,17,0.8058088513577444,0.07368079459056992,0.02670080018651594,1626
repeat_median_rank_consensus,disease_herb,18,0.8610825290945218,0.09185416339341929,0.02780609617215655,1626
