repeat_a,repeat_b,k,mean_nn_jaccard,std_nn_jaccard_across_records
repeat_03,repeat_04,100,0.5431511854150447,0.13532769191572971
repeat_03,repeat_04,200,0.6156567856205838,0.11341577551580972
repeat_03,repeat_05,5,0.21585317460317457,0.1706191993796979
repeat_03,repeat_05,10,0.27233664868842883,0.15288449200968407
repeat_03,repeat_05,20,0.34706246858165135,0.15230111870368493
repeat_03,repeat_05,50,0.4553640910214238,0.15424686071450294
repeat_03,repeat_05,100,0.5299457435054099,0.14093872704879665
repeat_03,repeat_05,200,0.6069027320407151,0.12136256463029468
repeat_03,repeat_06,5,0.20986309523809524,0.1701659212944477
repeat_03,repeat_06,10,0.26578848641039043,0.15290787079296628
repeat_03,repeat_06,20,0.33645404501193743,0.15045404423670714
repeat_03,repeat_06,50,0.4493505484198837,0.1554563633583869
repeat_03,repeat_06,100,0.5265802527285752,0.14037830813328403
repeat_03,repeat_06,200,0.6016259571069213,0.11766036962457307
repeat_03,repeat_07,5,0.1931190476190476,0.15848393422402102
repeat_03,repeat_07,10,0.2522955319534267,0.15152924986163843
repeat_03,repeat_07,20,0.32541228109563836,0.15086108676644638
repeat_03,repeat_07,50,0.4362241849651301,0.15544069369672484
repeat_03,repeat_07,100,0.5106027917511065,0.1381708431286737
repeat_03,repeat_07,200,0.5907460668862288,0.11950999763655043
repeat_03,repeat_08,5,0.21655555555555556,0.17316839118562496
repeat_03,repeat_08,10,0.2788160847580352,0.1517387892262649
repeat_03,repeat_08,20,0.35024690478410686,0.15340551816528908
repeat_03,repeat_08,50,0.45111818078585575,0.15316315457852786
repeat_03,repeat_08,100,0.5250142326402842,0.13685905874541174
repeat_03,repeat_08,200,0.5993168794017613,0.11743430087278996
repeat_03,repeat_09,5,0.19858531746031746,0.16549618578907088
repeat_03,repeat_09,10,0.25339577411752334,0.1501910973988561
repeat_03,repeat_09,20,0.3236385772729466,0.1485235820019355
repeat_03,repeat_09,50,0.4368717632690175,0.1579101638644165
repeat_03,repeat_09,100,0.5124145365104109,0.1427087003917912
repeat_03,repeat_09,200,0.5888384159459561,0.12321190596037226
repeat_03,repeat_10,5,0.22827777777777777,0.1737979455540612
repeat_03,repeat_10,10,0.2911664312209978,0.15516657042411103
repeat_03,repeat_10,20,0.36293345760991524,0.14888819607161535
repeat_03,repeat_10,50,0.47234542377281935,0.15112058044269094
repeat_03,repeat_10,100,0.5487460209946698,0.13630279156230754
repeat_03,repeat_10,200,0.6216252306935155,0.11465055410247933
repeat_04,repeat_05,5,0.21838888888888888,0.17656896477747436
repeat_04,repeat_05,10,0.2754970353004409,0.15496036888435524
